subject,vote,pro,against
Benoeming van de heer R. Rijpers als burgercommissielid voor de fractie GroenLinks,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Motie terughoudendheid met handhaving van de coronapas,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Benoeming van de heer G. van Vught als burgercommissielid voor de fractie Helder Helmond,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Wijziging gemeenschappelijke regeling VRBZO Raadsvoorstel 63,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Wijziging gemeenschappelijke regeling MRE Raadsvoorstel 64,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
"Plan voor de versteviging van de aanpak van leefbaarheid en veiligheid ""Verder bouwen aan een leefbaar en veilig Helmond"" Raadsvoorstel 69",unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Motie geluidsbelasting,unaniem aangenomen,"VVD, GroenLinks, 50PLUS, D66, Lokaal sterk, Helder Helmond, Helmond Aktief, SP, CDA, BachPlus, ",
Procedure wensen en bedenkingen inzake deelneming in BrabantRing BV Raadsvoorstel 70,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Vaststelling BP Stiphout – Herz. Geeneind 10 Raadsvoorstel 66,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Vaststelling BP Brandevoort Oost – Geldropseweg Ventweg 20 Raadsvoorstel 67,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
16. Actualisatie Parkeerbeleid Raadsvoorstel 68,aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ","plan!, Mi Hellemonders, "
amendement,Het amendement is verworpen.,"CDA, Mì Hellemonders, Helder Helmond, Forum voor Democratie, ","GL, VVD, HH, SP, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, "
Raadsvoorstel 27,het voorstel is aangenomen,"GL, VVD, HH, SP, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ","Forum, CDA, Helder Helmond, "
Vaststellen bestemmingsplan Buitengebied - Lieshoutseweg 76,het is aangenomen,"GL, VVD, HH, SP, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ","Forum, CDA, Helder Helmond, "
Ambitieakkoord 2022-2026 – Een sterker Helmond voor iedereen,aangenomen,,"VVD, Helder Helmond, Mi Hellemonders, "
Benoeming van een voorzitter en vicevoorzitter van de commissies,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Benoeming van een voorzitter en vicevoorzitter van de commissies,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Benoeming van een waarnemend voorzitter van de gemeenteraad (raadsbesluit 41),unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Benoeming zes raads- of commissieleden in het Auditcomité (raadsbesluit 43),unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Benoeming van twee raadsleden voor de Raadstafel 21,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Benoeming van zes raads- of commissieleden in het bestuur van de Wethouder van Deutekomstichting,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Benoeming van 12 raads- of commissieleden voor de Klankbord- en Gebruikersgroep Huis voor de Stad en benoeming van de voorzitter van de Klankbord- en Gebruikersgroep Huis voor de Stad,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Motie vreemd aan de orde van de dag over de oudere generatie,De motie is verworpen met 8 stemmen voor en 26 stemmen tegen,"Helder Helmond, CDA, ","GL, VVD, HH, SP, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, "
onbekend,8 stemmen voor en 26 stemmen tegen,"Helder Helmond, CDA, ","GL, VVD, SP, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, "
Vaststellen vergaderschema raad en commissies 2022. Raadsvoorstel 80,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Benoeming van mevrouw J. G. Hendriks als lid van het bestuur van de Wethouder Van Deutekomstichting namens GL als vervanger van de heer T. van de Meulengraaf. Raadsvoorstel 87,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Ontslag verlenen aan de heer M. Heesakkers als burgercommissielid namens de fractie CDA,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Wijziging GRR Blink – toetreding Son en Breugel. Raadsvoorstel 77,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Normenkader rechtmatigheid 2021. Raadsvoorstel 85,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
raadsvoorstel 54,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
raadsvoorstel 54,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Raadsvoorstel 55 op de verordening op de Adviescommissie Ruimtelijke Kwaliteit Helmond,Onbeslist,,
onbekend,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
amendement van Helder Helmond,aangenomen met 4 stemmen tegen en 24 stemmen voor,"GL, VVD, HH, SP, CDA, LS, 50PLUS, FvD, DENK, FMH, ","PvdA, D66, "
Verordening Adviescommissie Ruimtelijke Kwaliteit Helmond 2022,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Aanwijzing nieuwe raadsgriffier G.J. de Graaf,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
"raadsvoorstel 36, het rekenkameronderzoek naar de subsidiëring en de inkoop binnen het sociaal domein",unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Onbekend raadsvoorstel,Het raadsvoorstel is unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
zienswijze op de RES,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
onbekend,Met 37 voor is de motie unaniem aangenomen.,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Onbekend,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
onbekende motie,37 stemmen voor en nul tegen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
onbekend,37 stemmen voor en nul tegen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Motie Maak Berkendonk toegankelijker,unaniem aangenomen,"Helder Helmond, GroenLinks, CDA, BachPlus, ",
Motie Helmondse sporthelden,unaniem aangenomen,"plan!, CDA, GroenLinks, Lokaal sterk, 50PLUS, VVD, ",
Instellen Bouwgrond In Exploitatie (BIE) grondverkoop Berlaerstraat,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Benoeming mevrouw M. Brouwers als burgercommissielid voor de fractie D66,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Herstelbesluit mandatering Stichting Ontwikkelfonds Werklocaties. Raadsvoorstel 32,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
aanvullend onderzoek door de Rekenkamer naar versteviging van de sturende en controlerende rol van de gemeenteraad binnen het sociaal domein,aangenomen met 35 stemmen voor en twee stemmen tegen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ","Helder Helmond, "
Zienswijze ontwerpbegroting 2022 Veiligheidsregio Brabant Zuidoost,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Verordening tot wijziging Reglement van orde gemeenteraad 2018 - Samenstelling Presidium en Fractievoorzittersoverleg,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
16. Regionale Energie Strategie 1.0. Raadsvoorstel 38,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Zienswijze ontwerpbegroting 2022 en meerjarenbegroting 2022-2025 BLINK Raadsvoorstel 29,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Zienswijze ontwerpbegroting 2022 en meerjarenraming 2023-2025 Omgevingsdienst Zuidoost Brabant,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Benoeming van dhr. L.M.L.A. van Sas als lid van het Auditcomité. Raadsvoorstel 33,De raad stemt met algemene stemmen voor het besluit,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Verordening klankbordgesprekken aangaande de burgemeester namens de gemeenteraad Helmond 2023,De raad stemt met algemene stemmen voor het besluit,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
2020 Bescherming bomen Raadsvoorstel 18,De raad stemt met algemene stemmen voor het besluit,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Vaststellen bestemmingsplan Hoogeind-Geluidzone,Het voorstel wordt aangenomen,"HH, FvD, ","GrL, VVD, SP, CDA, D66, Ls, 50Plus, PvdA, DENK, MiH, "
Raadsvoorstel 21,Het voorstel wordt aangenomen,"GrL, SP, D66, Ls, 50Plus, PvdA, DENK, ","VVD, HH, CDA, FvD, MiH, "
Het vaststellen van het omgevingsplan,Het voorstel wordt aangenomen,"GrL, SP, D66, Ls, 50Plus, PvdA, DENK, ","VVD, HH, CDA, FvD, MiH, "
Wijzigingsvoorstel 10: Kaderstellende en controlerende rol gemeenteraden,Wijzigingsvoorstel 10 is verworpen,,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, "
W1,aangenomen,"GL, PvdA, ",
Duurzaamheid als leidend thema,Aangenomen,"GL, PvdA, ",
"S7, om de positie van starters in de lokale gemeenschap te versterken","gewijzigd aangenomen, namelijk zónder de plancapaciteit te verhogen",,
Voorstel S9,aangenomen,"zeven fracties uit de raad van Son & Breugel, ",
voorstel S9,aangenomen,"zeven fracties uit de raad van Son & Breugel, ",
Voorstel CDA en Dorpsbelang Son en Breugel (S13),Het voorstel werd verworpen,,"CDA, Dorpsbelang Son en Breugel, "
Motie van Forum voor Democratie om het raadsvoorstel te herzien,Onbekend,,
onbekende motie,"32 tegen, 2 voor. Daarmee is de motie verworpen",,
Onbekend,Het voorstel is aangenomen,"CDA, PvdA, GroenLinks, DENK, Lokaal Sterk, D66, 50Plus, SP, Mi Hellemonders, ","VVD, Forum voor Democratie, Helder Helmond, "
Onbekend,"De motie is twintig voor en veertien tegen, en daarmee is de motie aangenomen.",,"CDA, Lokaal Sterk, SP, Forum voor Democratie, PvdA, 50Plus, "
raadsbesluit 24A,aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, DENK, FMH, ","FvD, "
Onbekende stemming,Aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, DENK, FMH, ","FvD, "
Onbekend,Het is aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, DENK, FMH, ","FvD, "
Onbekend,Unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
amendement,verworpen,"VVD, Forum voor Democratie, Helder Helmond, ","GL, SP, CDA, D66, LS, 50PLUS, PvdA, DENK, FMH, "
participatie bij opvang van vluchtelingen,Verworpen,"VVD, Forum voor Democratie, Helder Helmond, ","GL, HH, SP, CDA, D66, LS, 50PLUS, PvdA, DENK, FMH, "
Laat de Gulbergen groen,verworpen,"VVD, Forum voor Democratie, Helder Helmond, ","GL, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, "
Onbekende motie,De motie is aangenomen,"Onbekende partijen, ","Mevrouw Hendriks, Mevrouw Meulenbroek, "
Raadsvoorstel 71,Unaniem aangenomen.,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Regionaal Veiligheidsplan,aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Motie Belang van vrijwilligers,De motie is aangenomen,"GL, HH, SP, CDA, D66, LS, 50PLUS, PvdA, DENK, FMH, ","VVD, FvD, "
motie Huurders in De Cacaofabriek,De motie is aangenomen,"GL, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ","VVD, Mì Hellemonders, "
onbekend,De motie is aangenomen,,"VVD, Mì Hellemonders, "
onbekend,De motie is verworpen,"CDA, VVD, Forum voor Democratie, helder Helmond, Mì Hellemonders, ","GL, SP, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, "
Amendement,Verworpen,"VVD, Mì Hellemonders, Helder Helmond, Forum voor Democratie, ","GL, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, "
amendement,verworpen,"VVD, Mì Hellemonders, Helder Helmond, Forum voor Democratie, ","GL, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, "
Raadsvoorstel,Er zijn twee moties aangenomen,,
onbekend,aangenomen,,"VVD, Forum voor Democratie, Helder Helmond, Mì Hellemonders, "
Bach Plus,aangenomen,"GL, VVD, HH, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ","SP, Helmond Actief, "
behandeling van dit raadsvoorstel,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Bouwgrond in exploitatie (BIE) Dijksestraat,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Onbekende stemming,Het amendement is aangenomen,"CDA, ",
raadsvoorstel,Het voorstel is aangenomen,"CDA, VVD, PvdA, Lokaal sterk, Helder Helmond, fractie Bach, Helmond Actief, 50PLUS, plan!, fractie Michael Rieter, ","GroenLinks, SP, D66, "
Onbekend voorstel,Het voorstel is aangenomen,"Helder Helmond, fractie Bach, Helmond Actief, 50PLUS, plan!, ","GroenLinks, SP, D66, "
Raadsvoorstel 48,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Bach Plus,aangenomen,"GL, VVD, HH, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ","SP, Helmond Actief, "
behandeling van dit raadsvoorstel,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
onbekend,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
onbekend,Het amendement is aangenomen,"CDA, ","onbekend, "
raadsvoorstel,Het voorstel is aangenomen,"CDA, VVD, PvdA, Lokaal sterk, Helder Helmond, fractie Bach, Helmond Actief, 50PLUS, plan!, fractie Michael Rieter, ","GroenLinks, SP, D66, "
Onbekend voorstel,Het voorstel is aangenomen,"Helder Helmond, fractie Bach, Helmond Actief, 50PLUS, plan!, ","GroenLinks, SP, D66, "
Raadsvoorstel 48,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Motie,Aangenomen,"Burgt, de heer Vervoort, de heer Yeyden, ",
Benoeming de heer W. Boetzkes als burgercommissielid voor de fractie Helder Helmond,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Benoeming mevrouw J. Willems-Kardol als burgercommissielid voor de fractie VVD,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
vergoeden van kosten aanvraag Verklaring Omtrent Gedrag (VOG) t.b.v. de gemeenteraadsverkiezingen,De motie is aangenomen met 18 stemmen vóór en 15 stemmen tegen.,"Helmond Aktief, Helder Helmond, PvdA, CDA, 50PLUS, BachPlus, ",
Toekomststrategie Stedelijk Gebied Eindhoven Voorzieningen & Evenementen Raadsvoorstel 41,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Toekomststrategie Stedelijk Gebied Eindhoven Voorzieningen & Evenementen Raadsvoorstel 41,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
1e wijziging Verordening Precariobelasting Helmond 2021 en 2e wijziging Legesverordening Helmond 2021 Raadsvoorstel 35,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Wijziging Verordening op de ambtelijke bijstand aan raadsleden en fractieondersteuning 2019 - beschikbaar houden niet bestede fractiebudgetten Raadsvoorstel 39,aangenomen,"GL, VVD, HH, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ","SP, Helmond Aktief, "
Verordening vestigen uitsluitend recht Collectieve Aanvullende verzekering (CAV) (gewijzigd) Raadsvoorstel 46,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Fase 2 De Braak Raadsvoorstel 42,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Formatieuitbreiding Raadsgriffie t.b.v. raadscommunicatie Raadsvoorstel 51,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
raadsvoorstel-zelf (met amendement),"aangenomen met de stemmen van de fracties GroenLinks, SP en D66 tegen","VVD, Fractie Michael Rieter, CDA, Lokaal sterk, 50PLUS, Helder Helmond, Helmond Aktief, BachPlus, ","GroenLinks, SP, D66, "
BP ’t Hout – Ganzewinkel naast 4 ongenummerd Raadsvoorstel 45,unaniem aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Motie bredere inzet van loonkostensubsidie,aangenomen,,
Motie Financiële ondersteuning plaatselijke ondernemers,aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
Financiële ondersteuning plaatselijke ondernemers,aangenomen,"GL, VVD, HH, SP, CDA, D66, LS, 50PLUS, PvdA, FvD, DENK, FMH, ",
